Rank_Main,Model,Group,F1-Score,Recall,Precision,ROC-AUC
1,Random Forest (reg),Main (tuned/planned),0.8615384615384616,0.8235294117647058,0.9032258064516129,0.9878288271830471
2,Gradient Boosting (default),Main (tuned/planned),0.8549618320610687,0.8235294117647058,0.8888888888888888,0.9849325599805139
3,XGBoost (reg),Main (tuned/planned),0.8461538461538461,0.8088235294117647,0.8870967741935484,0.9829116429180369
4,LR-Poly (reg),Main (tuned/planned),0.40264026402640263,0.8970588235294118,0.25957446808510637,0.9675435391547923
