Model,Split,F1 Before,F1 After,Δ F1,Precision Before,Precision After,Recall Before,Recall After,ROC-AUC Before,ROC-AUC After
XGBoost (reg),Validation,0.90625,0.90625,0.0,0.9666666666666667,0.9666666666666667,0.8529411764705882,0.8529411764705882,0.9933168919741809,0.9933168919741809
XGBoost (reg),Test,0.8396946564885496,0.8461538461538461,0.006459189665296572,0.873015873015873,0.8870967741935484,0.8088235294117647,0.8088235294117647,0.9831247716477896,0.9829116429180369
Random Forest (reg),Validation,0.9230769230769231,0.9375,0.014423076923076872,0.967741935483871,1.0,0.8823529411764706,0.8823529411764706,0.9908050176592377,0.9911703811959566
Random Forest (reg),Test,0.8527131782945736,0.88,0.0272868217054264,0.9016393442622951,0.9649122807017544,0.8088235294117647,0.8088235294117647,0.9878783034953111,0.9874939106077214
LR-Poly (reg),Validation,0.3902439024390244,0.43137254901960786,0.04112864658058346,0.24615384615384617,0.2773109243697479,0.9411764705882353,0.9705882352941176,0.979296066252588,0.9877907684813055
LR-Poly (reg),Test,0.3987538940809969,0.40264026402640263,0.0038863699454057543,0.25296442687747034,0.25957446808510637,0.9411764705882353,0.8970588235294118,0.9691191694068932,0.9675435391547923
