Rank_Ext,Model,Group,F1-Score,Recall,Precision,ROC-AUC
1,LightGBM,Extended (default),0.8769230769230769,0.8382352941176471,0.9193548387096774,0.9844035440263063
2,CatBoost,Extended (default),0.8059701492537313,0.7941176470588235,0.8181818181818182,0.9783902691511387
3,ANN (MLP),Extended (default),0.6825396825396826,0.6323529411764706,0.7413793103448276,0.9763198757763975
4,Decision Tree,Extended (default),0.5588235294117647,0.8382352941176471,0.41911764705882354,0.9107333150651566
5,AdaBoost,Extended (default),0.5409836065573771,0.4852941176470588,0.6111111111111112,0.964788089148703
6,Naive Bayes,Extended (default),0.4931506849315068,0.5294117647058824,0.46153846153846156,0.9323849104859335
7,SVM,Extended (default),0.45112781954887216,0.8823529411764706,0.30303030303030304,0.9716234319814884
8,KNN,Extended (default),0.37362637362637363,0.25,0.7391304347826086,0.8635709718670076
