Model,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,F1@0.5
Random Forest (reg),0.603,0.9915,0.9636363636363636,0.7794117647058824,0.8617886178861789,0.9874939106077214,0.88
Gradient Boosting (default),0.857,0.9915,1.0,0.75,0.8571428571428571,0.9849325599805139,0.8549618320610687
XGBoost (reg),0.846,0.9905,1.0,0.7205882352941176,0.8376068376068376,0.9829116429180369,0.8461538461538461
LR-Poly (reg),0.88,0.9675,0.5176470588235295,0.6470588235294118,0.5751633986928104,0.9675435391547923,0.40264026402640263
