Model,Stage,Split,Accuracy,Precision,Recall,F1,ROC-AUC
XGBoost (reg),Before tuning,Validation,0.994,0.9666666666666667,0.8529411764705882,0.90625,0.9933168919741809
XGBoost (reg),Before tuning,Test,0.9895,0.873015873015873,0.8088235294117647,0.8396946564885496,0.9831247716477896
Random Forest (reg),Before tuning,Validation,0.995,0.967741935483871,0.8823529411764706,0.9230769230769231,0.9908050176592377
Random Forest (reg),Before tuning,Test,0.9905,0.9016393442622951,0.8088235294117647,0.8527131782945736,0.9878783034953111
LR-Poly (reg),Before tuning,Validation,0.9,0.24615384615384617,0.9411764705882353,0.3902439024390244,0.979296066252588
LR-Poly (reg),Before tuning,Test,0.9035,0.25296442687747034,0.9411764705882353,0.3987538940809969,0.9691191694068932
