iter	Passed	Remaining
529	13755	12198
530	13776	12168
531	13797	12137
532	13818	12107
533	13840	12077
534	13860	12047
535	13881	12016
536	13902	11986
537	13923	11956
538	13944	11926
539	13965	11896
540	13986	11866
541	14008	11837
542	14030	11808
543	14050	11777
544	14072	11748
545	14094	11719
546	14117	11691
547	14138	11661
548	14159	11631
549	14179	11601
550	14201	11572
551	14232	11550
552	14276	11539
553	14315	11524
554	14357	11511
555	14385	11487
556	14418	11467
557	14440	11438
558	14462	11409
559	14484	11380
560	14506	11351
561	14531	11324
562	14554	11297
563	14579	11270
564	14599	11240
565	14629	11217
566	14653	11190
567	14674	11160
568	14694	11130
569	14715	11100
570	14737	11072
571	14760	11044
572	14784	11017
573	14806	10988
574	14827	10959
575	14848	10930
576	14869	10900
577	14890	10871
578	14911	10842
579	14932	10813
580	14954	10785
581	14975	10755
582	14996	10726
583	15017	10697
584	15038	10668
585	15060	10639
586	15080	10610
587	15100	10580
588	15121	10551
589	15143	10523
590	15158	10490
591	15180	10461
592	15201	10433
593	15224	10406
594	15247	10378
595	15272	10352
596	15294	10324
597	15316	10296
598	15340	10270
599	15365	10243
600	15399	10223
601	15437	10206
602	15462	10179
603	15500	10162
604	15544	10148
605	15572	10124
606	15596	10097
607	15618	10069
608	15639	10040
609	15660	10012
610	15675	9979
611	15696	9951
612	15717	9922
613	15739	9894
614	15760	9866
615	15781	9837
616	15802	9809
617	15824	9781
618	15860	9762
619	15881	9733
620	15901	9704
621	15922	9676
622	15945	9649
623	15966	9620
624	15981	9588
625	16002	9560
626	16022	9531
627	16043	9503
628	16077	9482
629	16098	9454
630	16125	9429
631	16146	9401
632	16167	9373
633	16189	9345
634	16210	9317
635	16231	9289
636	16252	9261
637	16276	9235
638	16298	9207
639	16318	9179
640	16340	9151
641	16361	9123
642	16384	9096
643	16399	9065
644	16421	9038
645	16443	9010
646	16466	8984
647	16490	8957
648	16511	8929
649	16533	8902
650	16566	8881
651	16593	8856
652	16631	8838
653	16676	8822
654	16716	8804
655	16748	8782
656	16773	8757
657	16795	8729
658	16810	8698
659	16831	8670
660	16852	8643
661	16874	8615
662	16895	8587
663	16915	8559
664	16936	8532
665	16958	8504
666	16980	8477
667	17001	8449
668	17023	8422
669	17044	8394
670	17065	8367
671	17087	8340
672	17108	8312
673	17123	8282
674	17144	8254
675	17165	8227
676	17188	8200
677	17210	8173
678	17233	8147
679	17254	8119
680	17275	8092
681	17297	8065
682	17318	8037
683	17339	8010
684	17361	7983
685	17384	7957
686	17399	7927
687	17420	7900
688	17441	7872
689	17462	7845
690	17485	7819
691	17519	7797
692	17544	7772
693	17565	7744
694	17586	7717
695	17607	7690
696	17628	7663
697	17649	7636
698	17678	7612
699	17693	7582
700	17714	7555
701	17742	7531
702	17779	7511
703	17820	7492
704	17860	7473
705	17909	7458
706	17940	7434
707	17963	7408
708	17985	7381
709	18000	7352
710	18023	7325
711	18038	7296
712	18059	7269
713	18081	7242
714	18098	7214
715	18119	7187
716	18140	7159
717	18157	7131
718	18179	7105
719	18200	7078
720	18226	7053
721	18249	7026
722	18265	6997
723	18286	6971
724	18307	6944
725	18328	6917
726	18343	6888
727	18368	6862
728	18394	6838
729	18412	6809
730	18437	6784
731	18460	6758
732	18481	6731
733	18502	6705
734	18523	6678
735	18545	6652
736	18568	6626
737	18590	6599
738	18611	6573
739	18632	6546
740	18652	6519
741	18674	6493
742	18694	6466
743	18716	6439
744	18737	6413
745	18752	6384
746	18774	6358
747	18791	6330
748	18812	6304
749	18834	6278
750	18855	6251
751	18877	6225
752	18899	6199
753	18922	6173
754	18947	6148
755	18989	6128
756	19035	6110
757	19070	6088
758	19094	6063
759	19117	6037
760	19147	6013
761	19163	5985
762	19185	5959
763	19207	5933
764	19228	5906
765	19249	5880
766	19274	5855
767	19289	5826
768	19312	5801
769	19334	5775
770	19349	5746
771	19371	5721
772	19394	5695
773	19410	5667
774	19426	5639
775	19446	5613
776	19462	5585
777	19484	5559
778	19507	5534
779	19523	5506
780	19544	5480
781	19567	5454
782	19591	5429
783	19618	5405
784	19637	5378
785	19662	5353
786	19686	5328
787	19704	5301
788	19728	5275
789	19743	5248
790	19760	5221
791	19776	5193
792	19792	5166
793	19807	5139
794	19829	5113
795	19850	5087
796	19867	5060
797	19882	5032
798	19904	5007
799	19926	4981
800	19941	4954
801	19958	4927
802	19973	4900
803	19995	4874
804	20010	4847
805	20032	4821
806	20056	4796
807	20072	4769
808	20097	4744
809	20119	4719
810	20138	4693
811	20183	4673
812	20229	4653
813	20266	4630
814	20305	4609
815	20327	4583
816	20348	4557
817	20365	4531
818	20387	4505
819	20409	4480
820	20425	4453
821	20440	4426
822	20456	4399
823	20478	4374
824	20495	4347
825	20511	4320
826	20526	4293
827	20541	4267
828	20564	4241
829	20585	4216
830	20608	4191
831	20631	4165
832	20646	4139
833	20663	4112
834	20685	4087
835	20708	4062
836	20724	4035
837	20739	4009
838	20760	3983
839	20776	3957
840	20792	3930
841	20813	3905
842	20835	3880
843	20856	3855
844	20878	3829
845	20900	3804
846	20922	3779
847	20938	3753
848	20954	3726
849	20975	3701
850	20997	3676
851	21020	3651
852	21040	3626
853	21063	3601
854	21079	3574
855	21095	3548
856	21117	3523
857	21135	3497
858	21158	3473
859	21175	3447
860	21196	3421
861	21211	3395
862	21233	3370
863	21260	3346
864	21283	3321
865	21302	3296
866	21341	3273
867	21379	3251
868	21422	3229
869	21467	3207
870	21495	3183
871	21511	3157
872	21533	3132
873	21554	3107
874	21578	3082
875	21600	3057
876	21622	3032
877	21644	3007
878	21667	2982
879	21690	2957
880	21712	2932
881	21727	2906
882	21748	2881
883	21771	2856
884	21793	2831
885	21815	2807
886	21837	2782
887	21854	2756
888	21877	2731
889	21900	2706
890	21924	2682
891	21945	2657
892	21969	2632
893	21991	2607
894	22013	2582
895	22036	2557
896	22056	2532
897	22078	2507
898	22099	2482
899	22122	2458
900	22144	2433
901	22167	2408
902	22188	2383
903	22205	2358
904	22224	2332
905	22246	2308
906	22269	2283
907	22291	2258
908	22314	2233
909	22330	2208
910	22346	2183
911	22369	2158
912	22391	2133
913	22413	2108
914	22434	2084
915	22449	2058
916	22475	2034
917	22519	2011
918	22554	1987
919	22584	1963
920	22633	1941
921	22662	1917
922	22684	1892
923	22701	1867
924	22724	1842
925	22745	1817
926	22769	1793
927	22790	1768
928	22813	1743
929	22834	1718
930	22857	1694
931	22879	1669
932	22902	1644
933	22925	1619
934	22946	1595
935	22968	1570
936	22991	1545
937	23016	1521
938	23041	1496
939	23064	1472
940	23086	1447
941	23108	1422
942	23132	1398
943	23153	1373
944	23169	1348
945	23190	1323
946	23206	1298
947	23229	1274
948	23252	1249
949	23274	1224
950	23293	1200
951	23315	1175
952	23337	1150
953	23359	1126
954	23382	1101
955	23405	1077
956	23426	1052
957	23448	1028
958	23465	1003
959	23489	978
960	23505	953
961	23525	929
962	23547	904
963	23569	880
964	23590	855
965	23611	831
966	23633	806
967	23651	781
968	23693	758
969	23719	733
970	23762	709
971	23804	685
972	23846	661
973	23870	637
974	23886	612
975	23903	587
976	23921	563
977	23943	538
978	23965	514
979	23982	489
980	24007	464
981	24029	440
982	24053	415
983	24080	391
984	24099	366
985	24121	342
986	24143	318
987	24165	293
988	24186	269
989	24209	244
990	24233	220
991	24252	195
992	24280	171
993	24303	146
994	24319	122
995	24338	97
996	24359	73
997	24381	48
998	24405	24
999	24423	0
