iter	Logloss
0	0.6457348347
1	0.6024347274
2	0.5566906264
3	0.5204560059
4	0.4802739489
5	0.4515825066
6	0.4251537048
7	0.3935190968
8	0.3719832462
9	0.3471655319
10	0.3252361982
11	0.3049800476
12	0.2903820628
13	0.2777506811
14	0.2612983708
15	0.2471801081
16	0.2350239508
17	0.2269326822
18	0.2164480984
19	0.2064858973
20	0.1998265293
21	0.1909473017
22	0.1853937117
23	0.1803052224
24	0.175581154
25	0.1704724625
26	0.1646924219
27	0.160141403
28	0.1560101014
29	0.1519186926
30	0.1486497504
31	0.1459030556
32	0.1419729932
33	0.1382908923
34	0.1363665437
35	0.1332622272
36	0.1303848126
37	0.128660906
38	0.1259323825
39	0.1225827521
40	0.1206258364
41	0.119125086
42	0.1171689826
43	0.1158444558
44	0.1149512967
45	0.113194274
46	0.1118635947
47	0.1108631898
48	0.1094800196
49	0.1079917395
50	0.1072378219
51	0.1066608572
52	0.1060468353
53	0.1051849572
54	0.1046690428
55	0.1033530902
56	0.101938639
57	0.1009122857
58	0.09991184312
59	0.09900334065
60	0.09813056424
61	0.09723612655
62	0.09594502428
63	0.09526938804
64	0.09473208312
65	0.09422638259
66	0.09357452111
67	0.09307370189
68	0.09212520127
69	0.09180376449
70	0.09116807375
71	0.09060091687
72	0.09036062714
73	0.08972026569
74	0.08928868734
75	0.08884603015
76	0.08847486269
77	0.08807409149
78	0.08785289076
79	0.08740559294
80	0.08684667187
81	0.08652191068
82	0.08612307245
83	0.08592174293
84	0.08574940793
85	0.08539471206
86	0.0851517974
87	0.08485228514
88	0.08458752118
89	0.0842903706
90	0.08399828936
91	0.0836440899
92	0.08327532173
93	0.08299726015
94	0.0825772044
95	0.08212528099
96	0.08188847361
97	0.08160696729
98	0.08140499846
99	0.08098785344
100	0.08079430092
101	0.08030319167
102	0.08018431038
103	0.07978729981
104	0.07962960122
105	0.07922590424
106	0.07882920957
107	0.0784987623
108	0.07837047189
109	0.07814226133
110	0.07766182477
111	0.07725380306
112	0.076963023
113	0.07684669142
114	0.07637104591
115	0.07617600418
116	0.07580241487
117	0.07536397712
118	0.0751078551
119	0.07474972201
120	0.07432793637
121	0.07416877864
122	0.0737703616
123	0.07352189624
124	0.07319200555
125	0.0728156108
126	0.07251813681
127	0.07242681347
128	0.07216268129
129	0.07190428785
130	0.07168884841
131	0.0715231547
132	0.07120288372
133	0.07104419983
134	0.07098194623
135	0.07087426412
136	0.07057008867
137	0.0702088869
138	0.06983097286
139	0.06972726198
140	0.06954389327
141	0.06928838047
142	0.0690353873
143	0.06889810145
144	0.06874139566
145	0.06863367594
146	0.06841623585
147	0.06824811276
148	0.06811949894
149	0.06784990631
150	0.06770504654
151	0.06739181547
152	0.06705718637
153	0.06695412984
154	0.06683826458
155	0.06666673436
156	0.06653530758
157	0.0664336124
158	0.06635057751
159	0.066285526
160	0.06609757683
161	0.06597116674
162	0.06575728421
163	0.06559981877
164	0.06553745987
165	0.06527021388
166	0.06513312358
167	0.06488783972
168	0.06469302363
169	0.0645775946
170	0.06445002623
171	0.06438299662
172	0.06432930975
173	0.06424821535
174	0.06407589539
175	0.06391606827
176	0.06366189427
177	0.06352225425
178	0.06344261898
179	0.06329260713
180	0.06303703416
181	0.06285132633
182	0.06278811001
183	0.06243907014
184	0.06235954017
185	0.06213895618
186	0.06181909511
187	0.06148022025
188	0.06122031127
189	0.06106530905
190	0.06086323116
191	0.06077897406
192	0.0604721436
193	0.06030719449
194	0.06024626839
195	0.06005591994
196	0.05998069965
197	0.05981603635
198	0.05961440598
199	0.059377828
200	0.05916736389
201	0.05896876835
202	0.05876326076
203	0.05861516683
204	0.05845205292
205	0.05826323128
206	0.05813674222
207	0.05806178518
208	0.05798935153
209	0.05787110202
210	0.05758580121
211	0.05749320678
212	0.05731878087
213	0.05727900836
214	0.0570663518
215	0.0570195657
216	0.05693465425
217	0.05680936859
218	0.05676074354
219	0.05648933453
220	0.05632277587
221	0.05625667137
222	0.0561607563
223	0.05601569344
224	0.05591185094
225	0.05586942342
226	0.05580013743
227	0.05567063986
228	0.05539466543
229	0.05520111291
230	0.05507628981
231	0.05491644765
232	0.05483773749
233	0.05470628815
234	0.05465114215
235	0.05445004955
236	0.05435229928
237	0.05432509859
238	0.05427745506
239	0.05403328435
240	0.05393374403
241	0.0537442041
242	0.05361175443
243	0.05340184313
244	0.05334610672
245	0.05325992417
246	0.0530187018
247	0.05276412917
248	0.05270659141
249	0.0526594142
250	0.0526486663
251	0.05258414127
252	0.05238107433
253	0.05217340814
254	0.05212529829
255	0.05189950582
256	0.05177331385
257	0.05160941396
258	0.05145836793
259	0.0513426531
260	0.05112548377
261	0.05096255788
262	0.05093051725
263	0.05077076534
264	0.05074042827
265	0.05068041977
266	0.05056790148
267	0.05053800065
268	0.05038012906
269	0.05025424546
270	0.05014115931
271	0.05011087865
272	0.04991375353
273	0.0497191029
274	0.04967391507
275	0.04959149693
276	0.04946584649
277	0.0494334185
278	0.04927742348
279	0.04913465085
280	0.0490639847
281	0.04901488957
